sequence,label
"p6,p2,p4,p19,p16,p14,p4,p9,p15,p16",1
"p13,p12,p6,p16,p2,p19,p12,p5,p4,p8",1
"p6,p16,p17,p7,p1,p19,p10,p6,p20,p8",1
"p6,p2,p4,p16,p8,p1,p5,p19,p1,p16",1
"p19,p20,p1,p13,p6,p16,p4,p20,p6,p6",1
"p10,p16,p7,p4,p6,p2,p14,p15,p16,p4",1
"p16,p19,p7,p16,p6,p6,p11,p5,p16,p16",1
"p14,p16,p4,p7,p6,p19,p18,p9,p11,p16",1
"p12,p19,p17,p11,p19,p6,p17,p18,p12,p17",1
"p2,p4,p16,p6,p20,p4,p15,p17,p18,p1",1
"p11,p16,p19,p11,p6,p16,p8,p3,p10,p12",1
"p4,p17,p6,p4,p18,p16,p11,p3,p16,p8",1
"p19,p6,p2,p10,p16,p17,p20,p4,p7,p1",1
"p8,p4,p6,p2,p6,p16,p17,p16,p8,p3",1
"p13,p19,p6,p19,p9,p16,p19,p15,p17,p14",1
"p12,p13,p16,p19,p6,p13,p10,p13,p13,p2",1
"p4,p10,p20,p2,p6,p16,p5,p14,p6,p2",1
"p20,p2,p6,p16,p4,p6,p17,p5,p14,p12",1
"p16,p16,p19,p14,p17,p6,p7,p2,p4,p8",1
"p14,p5,p8,p10,p10,p4,p4,p10,p14,p7",0
"p2,p15,p4,p9,p11,p9,p5,p17,p5,p7",0
"p5,p19,p3,p5,p18,p15,p7,p15,p9,p20",0
"p9,p15,p4,p9,p2,p20,p9,p5,p17,p14",0
"p20,p8,p10,p2,p2,p2,p9,p15,p9,p14",0
"p14,p10,p12,p6,p17,p7,p1,p12,p1,p4",0
"p9,p18,p1,p10,p10,p10,p9,p15,p14,p2",0
"p12,p16,p11,p2,p5,p5,p5,p4,p8,p9",0
"p6,p19,p5,p20,p5,p17,p12,p20,p9,p20",0
"p5,p12,p5,p11,p6,p12,p13,p19,p7,p14",0
"p3,p19,p3,p14,p10,p9,p19,p20,p8,p18",0
"p17,p3,p11,p3,p9,p12,p14,p9,p10,p12",0
"p3,p1,p11,p1,p17,p9,p5,p6,p8,p8",0
"p9,p15,p15,p5,p17,p1,p6,p8,p20,p20",0
"p7,p10,p7,p9,p3,p9,p12,p13,p18,p1",0
"p8,p17,p2,p7,p5,p10,p14,p12,p12,p14",0
"p18,p12,p20,p17,p17,p14,p5,p14,p4,p19",0
"p9,p16,p12,p2,p7,p10,p20,p1,p4,p19",0
"p8,p9,p5,p5,p7,p4,p11,p6,p16,p19",0
"p13,p19,p9,p5,p1,p19,p18,p15,p15,p5",0
"p20,p8,p18,p9,p12,p4,p10,p15,p5,p18",0
"p13,p17,p1,p20,p12,p3,p8,p10,p17,p14",0
"p17,p3,p14,p5,p19,p20,p8,p9,p16,p7",0
"p5,p3,p18,p9,p4,p14,p16,p15,p18,p18",0
"p8,p9,p6,p17,p17,p20,p9,p12,p12,p5",0
"p3,p15,p18,p11,p9,p5,p18,p3,p10,p16",0
"p18,p14,p8,p20,p20,p17,p6,p20,p18,p5",0
"p10,p6,p5,p5,p19,p7,p10,p2,p14,p5",0
"p14,p15,p11,p7,p9,p4,p4,p5,p13,p8",0
"p11,p5,p6,p6,p7,p15,p1,p10,p9,p10",0
"p16,p3,p12,p9,p10,p19,p3,p10,p3,p11",0
"p12,p4,p9,p9,p4,p12,p17,p10,p18,p1",0
"p11,p18,p9,p6,p19,p12,p5,p17,p3,p11",0
"p19,p16,p14,p1,p2,p13,p12,p16,p5,p3",0
"p9,p8,p9,p13,p6,p13,p4,p12,p10,p16",0
"p18,p12,p19,p9,p10,p14,p6,p9,p8,p19",0
"p10,p9,p14,p18,p18,p15,p8,p14,p1,p18",0
"p7,p12,p14,p15,p18,p3,p10,p20,p16,p2",0
"p15,p4,p13,p2,p3,p9,p15,p16,p12,p5",0
"p9,p1,p11,p1,p3,p5,p19,p19,p2,p1",0
"p6,p12,p9,p10,p9,p16,p15,p20,p12,p2",0
"p15,p20,p5,p17,p5,p20,p4,p18,p13,p9",0
"p19,p7,p13,p3,p1,p1,p17,p14,p3,p5",0
"p3,p11,p9,p5,p17,p11,p20,p7,p2,p11",0
"p13,p10,p17,p14,p10,p18,p18,p5,p15,p1",0
"p8,p14,p10,p19,p14,p7,p17,p16,p11,p3",0
"p13,p5,p6,p12,p2,p7,p20,p4,p14,p20",0
"p4,p13,p14,p12,p1,p14,p3,p5,p14,p1",0
"p10,p15,p16,p9,p19,p10,p15,p7,p19,p1",0
"p10,p17,p5,p13,p9,p12,p4,p8,p19,p18",0
